"","SRR8366697_1.fastq_quant","SRR8366698_1.fastq_quant","SRR8366699_1.fastq_quant","SRR8366700_1.fastq_quant","SRR8366701_1.fastq_quant","SRR8366704_1.fastq_quant","SRR8366705_1.fastq_quant","SRR8366706_1.fastq_quant","SRR8366707_1.fastq_quant"
"ENSG00000121895.7",8.29,0,5.615,8.6,9.21,2.094,2.024,3,1.797
"ENSG00000121897.9",0,0,0,0,83.642,0,20.252,0,0
"ENSG00000121898.8",0,0,0,0,0,0,0,1,0
"ENSG00000121900.14",35,19,1.404,18.099,1,6,0,5,1
"ENSG00000121903.10",61.552,42.358,34.446,63.529,69.995,11.852,6.311,22.578,13.166
"ENSG00000121904.13",38.282,27.664,28.178,74.311,60.282,24.753,17.545,2.002,4.001
"ENSG00000121905.5",3,0,1,0,0,0,0,0,0
"ENSG00000121931.11",2465.782,1267.667,1418.244,865.361,933.556,494.531,352.825,684.23,458.816
"ENSG00000121933.13",0,0,1,0,0,2,0,0,0
"ENSG00000121940.11",13.47,11.49,1.535,7.858,2.049,0,0,0,0
"ENSG00000121964.10",55.498,100.044,62.515,112.768,135.861,11.373,20.37,39.024,22.626
"ENSG00000121966.6",368.435,302.965,191.77,325.057,205.314,22.637,46.031,27.333,22.724
"ENSG00000121988.13",882.184,496.232,1022.53,724.458,736.626,329.853,195.61,511.826,325.835
"ENSG00000121989.10",5336.465,5284.555,6422.06,4133.491,5726.007,1198.534,609.923,1500.933,837.691
"ENSG00000122008.11",22.301,10.252,15.535,17.197,16.241,2.036,6.068,3.027,4.742
"ENSG00000122012.9",549.927,599.429,197.351,338.829,278.243,173.544,83.56,0,68.481
"ENSG00000122025.10",6.557,3,3,16,5,0,1,0,0
"ENSG00000122026.6",17833.678,8382.076,15580.089,15986.628,17131.862,3551.188,2630.304,10181.712,5934.423
"ENSG00000122033.10",85.539,67.117,88.56,79.47,128.733,11.513,21.783,27.853,27.717
"ENSG00000122034.8",63.738,99.124,168.933,70.797,30.666,38.269,38.993,23.442,27.045
"ENSG00000122035.6",9.346,15.67,11.843,17.315,5.176,1.947,0,0,4.914
"ENSG00000122068.8",900.709,449.407,632.652,730.509,374.722,179.728,275.226,637.977,209.398
"ENSG00000122085.12",1019.284,528.172,717.942,838.774,591.451,290.179,214.512,369.208,337.381
"ENSG00000122122.9",0,0,0,0,0,0,0,0,0
"ENSG00000122126.11",701.35,814.666,693.966,1727.201,1839.274,234.126,311.021,751.949,67.643
"ENSG00000122133.12",1.027,2.003,1.013,0,3.237,0,0,0,1
"ENSG00000122136.9",0,0,0,0,0,0,0,0,0
"ENSG00000122140.6",9.213,4.877,19.881,21.245,10.261,2.145,10.414,5.563,2.078
"ENSG00000122145.10",0,0,0,0,0,0,0,0,0
"ENSG00000122176.10",0,0,0,0,0,0,0,0,0
"ENSG00000122188.8",0,0,0,0,0,9.995,8.002,0,0
"ENSG00000122194.14",6,15,10,28.956,24,10,2.667,2,2.048
"ENSG00000122203.10",20.322,19.861,26.324,14.822,33.547,0,6.3,13.77,3.14
