"","SRR8366697_1.fastq_quant","SRR8366698_1.fastq_quant","SRR8366699_1.fastq_quant","SRR8366700_1.fastq_quant","SRR8366701_1.fastq_quant","SRR8366704_1.fastq_quant","SRR8366705_1.fastq_quant","SRR8366706_1.fastq_quant","SRR8366707_1.fastq_quant"
"ENSG00000218048.2",0,0,0,0,0,2,0,0,0
"ENSG00000218049.1",0,0,0,0,0,0,0,0,0
"ENSG00000218052.4",5.266,5.831,9.325,2.216,5.776,2.062,1,1.06,0
"ENSG00000218069.2",2.012,2.013,1.006,2.012,2.015,2.01,1.006,0,1.003
"ENSG00000218073.1",1,1,2,6,0,3,0,0,1
"ENSG00000218089.1",0,3,0,0,1,2,0,0,0
"ENSG00000218107.1",0,0,0,0,0,0,0,1,0
"ENSG00000218109.3",0,2,1,1,0,0,0,0,0
"ENSG00000218125.1",0,0,0,0,0,1,0,0,0
"ENSG00000218143.2",0,0,0,0,0,0,0,0,0
"ENSG00000218153.2",0,1,0,0,0,0,0,0,0
"ENSG00000218173.1",0,0,0,0,0,2,0,0,0
"ENSG00000218175.2",29.253,9.622,28.956,17.983,13.591,9.768,2.12,15.264,5.261
"ENSG00000218180.2",0,0,0,0,0,0,0,0,0
"ENSG00000218186.2",0,0,0,0,0,0,0,0,0
"ENSG00000218187.2",0,0,0,0,0,2,0,0,0
"ENSG00000218189.4",1,2.112,0,0,0,1.215,0,0,0
"ENSG00000218194.1",0,0,0,0,0,0,0,0,0
"ENSG00000218198.2",0,0,0,0,0,1,0,0,0
"ENSG00000218208.1",2.028,0,0,1.009,2.021,0,0,1.01,0
"ENSG00000218213.1",0,0,0,0,0,1,0,0,0
"ENSG00000218226.1",5,3,2,4,0,2,0,0,0
"ENSG00000218227.3",0,0,0,0,0,0,1.002,4.014,0
"ENSG00000218233.1",2,1,1,0,1,0,0,0,0
"ENSG00000218261.1",0,0,1,0,0,0,0,0,0
"ENSG00000218265.1",4.001,0,0,0,1,0,0,0,0
"ENSG00000218274.2",1,1,1,0,2,6,1,1,0
"ENSG00000218281.1",1,0,0,3,0,1,1,0,0
"ENSG00000218283.2",56.672,31.714,45.981,61.893,33.261,9.559,7.922,24.764,5.314
"ENSG00000218300.1",1,0,0,1,1,0,0,0,0
"ENSG00000218313.1",4,1,0,0,0,4,1,0,0
"ENSG00000218336.3",1412.42,937.227,1130.262,1796.398,3102.072,337.26,430.395,2701.24,440.431
"ENSG00000218337.1",0,0,0,0,0,0,0,0,0
"ENSG00000218347.2",1,0,1,0,1,2,0,0,0
"ENSG00000218350.1",1.006,0,0,0,1,0,0,0,0
"ENSG00000218351.2",0,0,0,0,0,0,0,0,1
"ENSG00000218357.3",0,0,0,0,0,0,0,0,0
"ENSG00000218358.2",18.635,15.617,8.287,16.352,31.507,10.298,5.121,8.178,1.021
"ENSG00000218359.1",0,0,1,0,0,0,0,0,0
"ENSG00000218363.1",0,0,0,0,0,0,0,0,0
"ENSG00000218410.1",1,0,0,1,0,4,0,0,0
"ENSG00000218416.3",57.021,42.249,31.075,77.568,58.088,8,13.669,7,17.972
"ENSG00000218418.2",65.883,40.968,75.986,62.997,55.827,23.582,20.369,24.627,8.471
"ENSG00000218424.2",19,17,7,4,2,3,1,0,0
"ENSG00000218426.5",5.923,7.218,3.173,0,11.262,0,0,2.782,0
"ENSG00000218428.1",0,0,0,0,0,0,0,0,0
"ENSG00000218454.2",1,1,0,0,0,0,0,0,0
"ENSG00000218459.1",2.105,0,2,0,0,0,1,0,0
"ENSG00000218472.2",0,1,1,1,0,0,0,0,0
"ENSG00000218475.2",1,2,0,1,0,0,0,0,0
"ENSG00000218476.2",0,0,0,0,0,2,0,0,0
"ENSG00000218483.1",0,0,0,0,0,0,0,0,0
"ENSG00000218490.1",5,13,6,3,9,6,2,1,0
"ENSG00000218499.1",0,0,0,0,0,0,0,0,0
"ENSG00000218502.3",4.081,1.022,4.161,3.072,0,2.05,0,2.072,0
"ENSG00000218510.3",6.224,0,5.617,9.553,13.737,0,0,0,3.283
"ENSG00000218512.2",0,0,0,0,0,0,0,0,0
"ENSG00000218520.5",0,0,0,0,0,0,0,0,0
"ENSG00000218521.1",0,0,0,0,0,0,0,0,0
"ENSG00000218536.1",8,11,1,4,1,5,5,0,0
"ENSG00000218537.1",12,12,21,17.005,27,6,1,5,0
"ENSG00000218561.1",2,0,0,0,0,0,0,1,0
"ENSG00000218565.2",0,0,1,0,0,1,0,0,0
"ENSG00000218574.1",0,0,0,1,0,1.03,0,1,0
"ENSG00000218577.1",0,1,0,0,0,0,0,0,0
"ENSG00000218582.2",3.001,0,0,0,2.001,1,0,1,1
"ENSG00000218586.3",0,11.066,6.047,1.003,5.012,4.03,2.012,5.038,0
"ENSG00000218596.2",51.905,66,57.005,39,51,26,27,4,6
"ENSG00000218617.1",0,0,0,0,0,0,0,0,0
"ENSG00000218631.1",4,4,4,8,8,0,3,0,0
"ENSG00000218632.3",0,0,0,0,0,0,0,0,0
"ENSG00000218643.2",0,0,0,0,0,0,0,0,0
"ENSG00000218672.1",6.958,4.932,8.057,12.308,0,2,2,0,0
"ENSG00000218676.1",1.002,0,2.003,1.001,0,3.007,1.002,0,0
"ENSG00000218682.1",1,3,1,0,0,0,1,1,0
"ENSG00000218689.2",4,2,1,0,0,1,0,0,0
"ENSG00000218690.1",0,0,0,0,0,0,0,0,0
"ENSG00000218698.1",0,0,4,0,0,1,0,0,0
"ENSG00000218713.1",11.125,5.008,5.072,5.174,4.047,6.015,2,2.013,0
"ENSG00000218716.1",0,0,0,0,0,1,0,0,0
"ENSG00000218725.2",1.001,1,0,0,1,0,0,0,0
"ENSG00000218728.3",0,0,0,0,0,0,0,0,0
"ENSG00000218730.1",23,43,15,28,14,6,3,0,3
"ENSG00000218732.1",1,0,0,0,0,0,0,0,0
"ENSG00000218739.5",214.151,127.401,237.364,127.045,54.27,31.729,75.664,164.921,87.714
"ENSG00000218748.1",0,0,0,0,0,0,0,0,0
"ENSG00000218749.1",0,0,0,0,0,0,0,0,0
"ENSG00000218754.4",0,0,0,0,0,0,0,0,0
"ENSG00000218757.1",1,2,2,1,0,0,0,0,0
"ENSG00000218766.1",2,1,2,4,0,4,0,0,1
"ENSG00000218772.2",0,0,0,0,0,0,0,0,0
"ENSG00000218776.4",0,0,0,0,0,7,0,0,0
"ENSG00000218792.2",0,0,0,0,0,0,0,0,0
"ENSG00000218793.1",1,0,1,1,0,1,0,0,0
"ENSG00000218803.1",0,0,1.007,0,0,0,0,1.017,0
"ENSG00000218806.2",0,0,0,0,0,1,0,0,0
"ENSG00000218809.1",0,0,0,0,0,0,0,0,0
"ENSG00000218813.1",0,0,0,1,0,0,1,0,0
"ENSG00000218834.1",0,2,0,0,0,0,0,0,0
"ENSG00000218857.1",0,0,0,0,0,0,0,1,0
"ENSG00000218868.1",0,0,1,0,0,1,0,0,0
"ENSG00000218870.1",2,0,0,0,1,0,0,0,0
"ENSG00000218872.1",0,0,0,0,0,0,1,0,0
"ENSG00000218890.1",0,0,1.024,1.029,0,5.321,0,2.111,0
"ENSG00000218891.2",18,29,16,19,20,22,11,17,10
"ENSG00000218893.1",0,0,1,0,0,0,0,0,0
"ENSG00000218896.1",0,0,0,0,1,0,0,0,0
"ENSG00000218902.3",9.008,4.007,8.005,7.008,1,5.007,3.004,4.007,1
"ENSG00000218965.1",0,0,1,0,0,0,0,0,0
"ENSG00000218976.2",0,0,1.002,0,0,0,0,0,0
"ENSG00000218980.2",0,0,0,2.006,0,1,0,0,0
"ENSG00000218986.1",0,0,0,0,0,0,0,0,0
"ENSG00000218991.1",0,0,0,0,0,0,0,0,0
"ENSG00000218996.1",28.693,10.851,18.053,23.679,6.595,10.967,6.655,20.554,14.263
"ENSG00000219023.1",1.002,0,4.016,0,0,0,0,1.003,0
"ENSG00000219027.2",1,3,3,9,16,2,2,1,2
"ENSG00000219039.2",0,0,2.012,0,0,2.034,0,1.005,1.001
"ENSG00000219061.4",0,0,1,0,0,5,0,3,3
"ENSG00000219073.3",2.011,2.021,1.096,1.007,1.628,3,1.647,1,0
"ENSG00000219074.1",0,1,0,0,1,0,0,0,0
"ENSG00000219085.1",75.811,85.581,66.055,78.024,76.045,25.009,20.009,15.007,7.001
"ENSG00000219087.2",0,0,0,0,0,0,0,0,0
"ENSG00000219088.1",0,0,0,0,0,1,0,0,0
"ENSG00000219095.1",0,0,1.002,0,0,0,0,0,0
"ENSG00000219102.3",0,0,2.01,0,3.012,6.016,2.01,2.008,0
"ENSG00000219133.2",18.587,21.84,14.593,15.407,25.509,2.087,6.171,6.222,3.092
"ENSG00000219135.1",0,1,1,1,1,1,1,1,0
"ENSG00000219139.1",0,0,0,0,0,0,0,0,0
"ENSG00000219146.1",0,0,0,0,0,0,0,2,0
"ENSG00000219149.4",0,0,0,0,0,0,0,0,0
"ENSG00000219150.2",4,2,10,0,5,0,0,1,0
"ENSG00000219159.3",0,0,4,0,0,0,0,0,0
"ENSG00000219163.2",19.009,9.005,22.013,2,15.005,7.005,1,10.004,2
"ENSG00000219186.2",3,2,1,2,0,0,1,0,1
"ENSG00000219188.1",0,0,0,0,0,0,0,0,0
"ENSG00000219190.1",0,0,0,0,0,1,0,0,0
"ENSG00000219200.6",41.677,38.658,34.722,48.107,41.331,18.889,14.959,33.439,21.392
"ENSG00000219201.3",3.23,0,0,0,0,0,0,3.005,2.928
"ENSG00000219222.1",0,0,0,0,0,0,0,0,0
"ENSG00000219240.2",0,0,0,0,0,0,0,0,0
"ENSG00000219249.2",0,0,0,0,0,0,0,0,0
"ENSG00000219253.1",0,0,1,0,0,0,0,0,0
"ENSG00000219257.2",1,1,2.001,1.004,0,4,0,2,1
"ENSG00000219262.1",0,0,0,0,0,0,0,0,0
"ENSG00000219273.1",19.382,10,10,8,15,2.002,4.132,3.007,4.005
"ENSG00000219274.1",2.015,4.045,1.008,1.005,0,0,0,4.066,0
"ENSG00000219280.1",0,0,0,0,0,0,0,0,0
"ENSG00000219284.2",0,0,1,0,0,0,0,0,0
"ENSG00000219294.5",1,0,0,0,0,2,0,0,0
"ENSG00000219297.1",0,4,0,0,0,0,0,0,0
"ENSG00000219298.1",0,0,0,0,0,0,0,0,0
"ENSG00000219302.2",0,1,0,0,0,0,0,0,0
"ENSG00000219314.1",0,0,0,0,0,0,0,0,0
"ENSG00000219329.1",4.03,4.011,4.027,3.006,1.001,2.025,0,1.004,0
"ENSG00000219355.2",5,8,6,4,2,2,0,3,1
"ENSG00000219361.1",0,0,1,0,0,0,0,0,0
"ENSG00000219368.3",0,0,0,0,0,6,0,0,0
"ENSG00000219375.1",0,0,0,0,0,0,0,0,0
"ENSG00000219384.1",1,0,0,0,0,1,0,0,0
"ENSG00000219387.2",1,2,1,0,0,3,0,0,0
"ENSG00000219391.1",0,0,0,0,0,0,0,0,0
"ENSG00000219392.1",0,1,0,0,1,0,0,0,0
"ENSG00000219395.2",19,10,29,14,13,6,6,9,1
"ENSG00000219404.2",0,1,0,1,1,1,0,0,0
"ENSG00000219409.2",5,7,4,5,7,3,3,0,0
"ENSG00000219430.2",0,0,0,0,1.038,1,0,0,0
"ENSG00000219433.2",25,9,15,12,13,2,4,11,6
"ENSG00000219435.3",0,0,0,0,1,0,0,0,0
"ENSG00000219438.4",41.227,0,7.108,0,106.407,9.326,20.7,0,28.156
"ENSG00000219445.2",80.313,67.596,56.911,64.789,65.31,50.658,11.499,10.312,3.377
"ENSG00000219451.3",8.029,0,4.025,11.042,1.001,1.002,3.012,1.003,0
"ENSG00000219453.1",0,0,0,0,0,0,0,0,0
"ENSG00000219463.1",0,0,0,0,0,0,0,0,0
"ENSG00000219470.1",14.193,4.047,8.024,13.032,15.06,6.205,2.01,9.109,2.029
"ENSG00000219481.6",3945.239,3180.59,2974.942,4149.19,3295.238,1521.272,792.747,1048.869,472.034
"ENSG00000219487.2",0,0,0,0,0,0,0,0,0
"ENSG00000219492.4",0,0,0,0,0,1,0,0,0
"ENSG00000219500.1",0,0,1,0,1,0,0,0,0
"ENSG00000219507.4",5.188,5.167,3.093,3.077,2.033,4.133,1.017,3.067,1.008
"ENSG00000219529.2",12.54,10.037,22.608,18.259,22.544,1.482,5,6.072,4
"ENSG00000219532.2",0,0,0,0,0,0,0,0,1
"ENSG00000219547.1",0,2,1.546,0,3,0,0,2,0
"ENSG00000219549.1",1,1,1,2,1,2,0,0,0
"ENSG00000219553.2",4.02,11.137,1.006,2.007,4.009,4.032,3.014,0,3.014
"ENSG00000219559.1",0,0,0,0,1,0,0,0,0
"ENSG00000219565.2",0,2,4,1,0,6,0,2.001,0
"ENSG00000219575.1",1,0,0,0,0,1,0,0,0
"ENSG00000219592.2",0,0,0,0,0,0,0,0,0
"ENSG00000219604.1",0,0,0,0,0,0,0,0,0
"ENSG00000219608.3",13,10,8,3,20,6,3,1,1
"ENSG00000219619.2",0,0,0,0,0,0,0,0,0
"ENSG00000219622.1",0,0,0,0,0,0,0,0,0
"ENSG00000219626.4",1589.884,1450.735,1329.806,1552.455,929.728,1006.307,330.106,297.052,251.51
"ENSG00000219627.1",0,0,0,0,0,0,0,0,0
"ENSG00000219642.2",2.174,0,2.194,3.275,1.058,3.307,0,3.335,1.057
"ENSG00000219653.1",0,0,0,0,0,0,0,0,0
"ENSG00000219665.4",826.241,444.64,598.449,440.186,391.583,256.989,276.01,119.888,71.907
"ENSG00000219666.2",0,0,0,0,0,0,0,0,0
"ENSG00000219669.1",0,0,0,3,0,2,0,0,0
"ENSG00000219681.2",0,1,0,0,0,1,0,0,0
"ENSG00000219682.3",1.075,0,6.181,1.072,2.182,1.105,1.07,3.406,0
"ENSG00000219693.3",20.959,6.953,0,0,0,0,2.534,4.087,4.807
"ENSG00000219699.2",1.004,0,1,0,0,0,0,0,0
"ENSG00000219700.1",0,0,0,0,0,0,0,0,0
"ENSG00000219702.1",1,0,0,0,0,0,0,0,0
"ENSG00000219703.1",0,0,0,0,0,0,0,0,0
"ENSG00000219712.1",13,24,12,10,19,2,6,3,0
"ENSG00000219722.1",0,0,0,0,0,1,0,0,0
"ENSG00000219736.1",0,1,0,0,0,4,0,0,0
"ENSG00000219738.2",0,0,0,0,0,0,0,0,0
"ENSG00000219747.1",6.027,1.234,10.071,6.025,5.021,2.012,3.015,7.038,2.005
"ENSG00000219755.1",0,0,0,0,0,0,0,0,0
"ENSG00000219757.1",0,3,0,0,0,0,0,0,0
"ENSG00000219758.5",0,0,0,0,0,0,0,0,0
"ENSG00000219770.1",0,0,1,1,0,3,0,0,0
"ENSG00000219773.1",2.004,1.001,0,0,3.006,0,0,2.004,0
"ENSG00000219776.2",1,1,0,0,0,1,0,0,0
"ENSG00000219784.2",0,0,0,0,0,0,0,0,0
"ENSG00000219790.3",0,0,1,0,0,0,0,0,0
"ENSG00000219797.2",24.003,5.302,20.019,15.381,15.908,4.005,2.378,11.015,5.001
"ENSG00000219806.1",0,0,0,0,0,0,0,0,0
"ENSG00000219807.2",0,0,0,0,0,0,0,0,0
"ENSG00000219814.2",0,0,0,0,0,0,1.359,0,0
"ENSG00000219863.4",1,1,1,0,4.001,0,0,0,0
"ENSG00000219867.1",0,0,0,0,0,0,0,0,0
"ENSG00000219870.2",0,0,0,0,0,0,0,0,0
"ENSG00000219881.1",4,2,1,0,0,0,0,0,0
"ENSG00000219891.2",44,27,51,36,22,11,14,18,7
"ENSG00000219902.1",37,23,28,26,28,14,7,2,3
"ENSG00000219926.6",0,1.168,1.114,1.058,1.186,4.633,0,0,0
"ENSG00000219928.2",3.025,0,0,1.007,1,0,0,0,0
"ENSG00000219930.4",0,0,0,2,0,0,0,0,0
"ENSG00000219932.5",1.023,0,0,0,0,0,0,0,0
"ENSG00000219940.2",0,0,0,0,0,1,0,0,0
"ENSG00000219941.1",0,1,0,0,1,3,0,0,0
"ENSG00000219951.4",1,0,0,0,0,3.001,0,0,0
"ENSG00000219986.2",0,0,0,0,0,0,0,0,0
"ENSG00000219992.2",3,0,1,2,0,1,0,2,0
"ENSG00000219993.1",3.001,0,0,0,0,0,0,0,0
"ENSG00000220008.2",3,9,10,6,19,0,0,0,0
"ENSG00000220030.1",0,0,0,0,0,0,0,0,0
"ENSG00000220069.1",1,0,0,0,0,0,0,0,0
"ENSG00000220076.1",0,0,0,0,0,0,0,0,0
"ENSG00000220091.2",10,9,6,9,14,4,4,1,0
"ENSG00000220105.2",0,0,0,0,1,0,0,0,3
"ENSG00000220110.1",1,0,0,0,0,0,0,0,0
"ENSG00000220113.2",0,0,0,0,0,2,0,0,0
"ENSG00000220125.1",0,0,0,0,0,0,0,0,0
"ENSG00000220130.1",0,0,1,0,0,0,0,0,0
"ENSG00000220131.1",0,0,0,0,0,0,0,0,0
"ENSG00000220132.1",0,0,0,0,0,0,0,0,0
"ENSG00000220139.1",0,0,0,0,0,0,0,0,0
"ENSG00000220154.2",0,0,0,0,0,1,0,0,0
"ENSG00000220157.4",4.017,0,3.059,4.01,4.215,4.069,0,0,0
"ENSG00000220161.4",8.077,6.556,4.002,9.007,16.19,2.67,7,26.453,4
"ENSG00000220181.1",0,0,0,0,0,1,0,0,0
"ENSG00000220184.2",0,0,0,0,0,2,0,2,0
"ENSG00000220201.3",70.625,30.591,41.964,50.175,23.752,5,4.209,4.276,12.31
"ENSG00000220204.1",0,0,0,0,0,0,0,0,0
"ENSG00000220205.4",128.835,108.319,69.654,73.244,89.508,30.355,33.817,35.489,22.698
"ENSG00000220212.1",0,0,0,0,0,0,0,0,0
"ENSG00000220237.1",0,0,0,0,0,0,0,0,0
"ENSG00000220240.1",0,0,0,0,0,1,0,0,0
"ENSG00000220248.1",0,0,0,0,0,6,0,0,0
"ENSG00000220256.3",6.272,6.025,5.471,8.586,5.546,3.095,0,0,0
"ENSG00000220267.1",0,0,0,2,0,0,0,0,0
"ENSG00000220291.1",0,0,0,0,0,0,0,0,0
"ENSG00000220305.1",43.005,35,45,27.003,33.005,11,8.005,4.001,8
"ENSG00000220311.1",0,1,0,0,0,0,0,0,0
"ENSG00000220323.3",0,0,0,0,0,0,0,0,0
"ENSG00000220326.2",0,0,0,0,0,1,0,0,0
"ENSG00000220340.1",0,0,0,0,0,0,0,0,0
"ENSG00000220343.4",0,0,0,0,0,0,1.001,0,0
"ENSG00000220347.1",0,0,0,0,0,2,0,0,0
"ENSG00000220349.4",0,0,0,0,0,0,0,0,0
"ENSG00000220370.1",0,0,0,0,0,0,0,1,0
"ENSG00000220377.1",0,2,0,0,0,0,0,0,0
"ENSG00000220378.3",0,1,0,0,0,0,1,0,0
"ENSG00000220392.1",1,4,1,2,5,0,0,0,0
"ENSG00000220412.1",9.083,7.047,4.019,11.066,4.032,9.066,1.004,1.003,0
"ENSG00000220418.1",1,0,0,1,0,0,0,2,0
"ENSG00000220446.2",0,0,0,0,0,0,0,0,0
"ENSG00000220447.1",0,0,0,0,0,0,0,0,0
"ENSG00000220472.1",2.003,0,1.001,1.001,2.003,0,0,2.004,0
"ENSG00000220483.4",0,0,0,0,0,2.023,0,0,0
"ENSG00000220494.4",2,7.007,4,3,3.001,3,0,0,0
"ENSG00000220505.2",0,1,0,0,1,4,0,0,0
"ENSG00000220506.2",0,0,1,3,2,2,0,0,0
"ENSG00000220514.1",0,0,0,0,0,0,0,0,0
"ENSG00000220515.2",1,0,1.001,1,0,0,0,0,0
"ENSG00000220517.2",7,0,2,1,3,1,0,1.004,0
"ENSG00000220522.2",0,1,0,0,0,0,0,0,0
"ENSG00000220537.1",0,0,0,0,1,0,0,0,0
"ENSG00000220540.1",0,0,0,0,0,0,0,0,0
"ENSG00000220541.3",0,0,0,1.001,0,0,0,0,0
"ENSG00000220548.3",0,0,0,0,0,0,0,0,0
"ENSG00000220553.1",0,0,0,0,0,8,0,0,0
"ENSG00000220556.4",0,0,0,0,0,0,0,0,0
"ENSG00000220557.1",1.009,0,1.386,2,1,4,0,1,0
"ENSG00000220563.1",0,0,0,0,0,0,0,0,0
"ENSG00000220581.1",0,0,0,0,0,1,0,0,0
"ENSG00000220583.1",11.025,2.004,8.019,2.002,3.005,0,1,3.004,0
"ENSG00000220585.3",16.001,2,4,16,16.008,3,1,3,3
"ENSG00000220586.1",0,0,0,0,0,1,0,1,0
"ENSG00000220598.1",0,0,0,0,0,0,0,0,0
"ENSG00000220600.2",8.002,7,10.001,15,9,3,4,2,2
"ENSG00000220614.1",0,3.001,2,3.001,0,0,0,0,0
"ENSG00000220635.2",0,0,1,0,0,0,0,0,0
"ENSG00000220643.1",0,0,0,0,0,0,0,0,0
"ENSG00000220660.2",2,1,1,3,1,0,0,0,0
"ENSG00000220666.2",6,1,8,2,3,1,4,0,3
"ENSG00000220685.2",42,24,44,28,13,12,13,11,9
"ENSG00000220694.2",7,11,18.001,8,7,6,6,4,0
"ENSG00000220695.1",1.008,1.009,0,0,0,4.093,1.013,0,1.023
"ENSG00000220702.1",0,1,1,0,0,2,1,0,0
"ENSG00000220725.1",0,0,0,0,0,3,0,0,0
"ENSG00000220730.2",0,0,0,0,0,0,0,0,0
"ENSG00000220733.1",0,0,0,0,0,3,0,0,0
"ENSG00000220734.1",0,0,0,0,0,1,0,0,0
"ENSG00000220739.2",0,0,1,0,0,0,0,0,0
"ENSG00000220744.1",114.022,92.008,97.022,79.006,124.002,35.006,51.013,11.001,13.001
"ENSG00000220745.2",0,0,0,0,0,2,0,0,0
"ENSG00000220748.2",0,0,0,0,0,1,0,0,0
"ENSG00000220749.3",20.349,3.614,10.363,12.496,25.612,1.079,0,5.654,2.199
"ENSG00000220758.3",0,0,1,0,0,0,0,0,0
"ENSG00000220771.2",9,9,18,6,7,2,3,0,2
"ENSG00000220773.1",2.013,0,1,0,0,0,2,2,0
"ENSG00000220785.3",0,3,0,0,1.2,0,0,0,0
"ENSG00000220793.4",12.137,4.748,24.075,4.298,33.581,5.28,6.094,0,0
"ENSG00000220804.4",1.805,0,0,0,0,0,0,0,1.407
"ENSG00000220831.3",0,0,0,0,0,1,0,0,0
"ENSG00000220842.5",6988.672,3355.206,5173.285,5873.606,8156.532,2680.431,2051.387,4149.14,1586.758
"ENSG00000220848.4",8.359,10.326,0,17.008,2.984,0,0,6.456,0
"ENSG00000220867.1",19,7,10,20,10,8,3,3,1
"ENSG00000220868.2",13,3,9,6,11,0,2,2,0
"ENSG00000220871.1",0,0,0,0,0,0,0,0,0
"ENSG00000220875.1",1.001,0,2.002,0,1.001,0,0,0,0
"ENSG00000220884.2",1.001,0,1.002,0,0,1.001,0,1,0
"ENSG00000220891.1",65.685,62.599,63.002,32.434,41.515,17.67,15.043,2.456,7.271
"ENSG00000220908.2",9.078,5,1,4,1,1,4,0,2
"ENSG00000220913.1",0,1,0,0,0,0,0,0,0
"ENSG00000220918.1",0,0,0,0,0,5,0,0,0
"ENSG00000220920.1",0,0,1,0,0,1,0,0,0
"ENSG00000220924.4",0,2,0,0,0,0,0,0,0
"ENSG00000220925.2",0,1,0,0,0,0,0,0,0
"ENSG00000220937.3",2.001,2,1,1,2,2,0,1.083,0
"ENSG00000220949.2",1,0,1,0,0,2,0,1,1
"ENSG00000220960.1",0,0,0,0,0,0,0,0,0
"ENSG00000220986.1",0,0,0,0,0,0,0,0,0
"ENSG00000220988.1",0,4.992,6.99,0.982,0,1.985,4.994,1.959,2.987
"ENSG00000221015.1",0,0,0,0,0,0,0,0,0
"ENSG00000221017.1",0,0,0,0,0,0,0,0,0
"ENSG00000221023.1",0,0,0,0,0,0,0,0,0
"ENSG00000221025.1",0,0,0,0,0,0,0,0,0
"ENSG00000221028.1",0,0,0,0,0,0,0,0,0
"ENSG00000221031.1",0,0,0,0,0,0,0,0,0
"ENSG00000221033.1",0,0,0,0,0,0,0,0,0
"ENSG00000221038.1",0,0,0,1.018,0,0,0,0,0
"ENSG00000221042.1",3,1,1,2,1,0,0,0,0
"ENSG00000221046.1",0,0,0,0,0,0,0,0,0
"ENSG00000221055.1",0,0,0,0,0,0,0,0,0
"ENSG00000221059.1",0,0,0,0,0,1,0,0,0
"ENSG00000221060.1",0,0,0,0,0,0,0,0,0
"ENSG00000221062.1",0,0,0,0,0,0,0,0,0
"ENSG00000221066.1",6,13,5,1,5,2,1,4,1
"ENSG00000221081.1",0,0,0,0,0,0,0,0,0
"ENSG00000221083.1",11,9,5,5,5,2,0,2,3
"ENSG00000221091.1",0,0,0,0,0,0,0,0,0
"ENSG00000221093.1",0,0,0,3,0,0,0,0,0
"ENSG00000221102.1",0,1,0,0,0,0,0,0,0
"ENSG00000221114.1",0,0,0,0,0,0,0,0,0
"ENSG00000221116.1",0,0,0.922,0,0,1.978,0,0.927,0
"ENSG00000221120.1",0,0,0,0,0,0,0,0,0
"ENSG00000221139.1",0,0,0,1,0,0,0,0,0
"ENSG00000221148.1",0,0,0,0,0,0,0,0,0
"ENSG00000221160.1",3,3,17,12,16,0,4,1,0
"ENSG00000221164.1",60,38,51,47,34,11,6,35,12
"ENSG00000221170.1",0,0,0,0,0,0,0,0,0
"ENSG00000221176.1",0,0,0,0,0,0.654,0,0,0
"ENSG00000221184.1",10,1,7,3,6,1,3,4,0
"ENSG00000221187.1",0,0,0,0,0,0,0,0,0
"ENSG00000221200.1",1,0,0,0,0,0,0,0,0
"ENSG00000221203.1",5,2,2,4,2,0,0,0,1
"ENSG00000221206.1",1,0,0,0,1,1,0,0,0
"ENSG00000221214.1",21,8,12,17,26,5,7,2,0
"ENSG00000221216.1",9,5,9,20,8,3,0,8,4
"ENSG00000221227.1",5,2,2,6,10,0,4,3,2
"ENSG00000221230.1",1,0,1,1,0,0,0,0,0
"ENSG00000221238.1",0,0,0,0,0,0,0,0,0
"ENSG00000221240.1",0,0,0,0,0,0,0,0,0
"ENSG00000221241.1",3,3,0,2,0,0,1,1,0
"ENSG00000221245.1",12,11,4,2,8,2,2,2,0
"ENSG00000221251.1",0,0,0,0,0,0,0,0,0
"ENSG00000221255.1",0,0,0,0,0,0,0,0,0
"ENSG00000221261.1",2,0,0,0,3,0,0,0,0
"ENSG00000221263.1",0,0,1,0,2,0,0,0,0
"ENSG00000221264.1",5,0,2,0,3,1,0,0,0
"ENSG00000221265.1",3,0,3,2,0,1,0,0,0
"ENSG00000221267.1",0,0,0,0,0,0,0,0,0
"ENSG00000221269.1",0,0,0,0,0,0,0,0,0
"ENSG00000221273.1",0,0,0,0,0,0,0,0,0
"ENSG00000221275.1",0,0,0,0,0,1,0,0,0
"ENSG00000221287.1",0,1,0,0,0,0,0,0,0
"ENSG00000221288.1",11,1,24,3,3,0,3,12,7
"ENSG00000221290.1",0,0,0,0,0,0,0,0,0
"ENSG00000221296.2",0,3,2,0,0,0,0,2,0
"ENSG00000221300.1",0,0,0,0,0,0,0,0,0
"ENSG00000221303.1",9,4,6,3,6,1,2,1,1
"ENSG00000221305.1",0,1.5,0,0,1.265,12,0,0,0
"ENSG00000221323.1",0,0,0,0,0,0,0,0,0
"ENSG00000221325.1",15,9,3,4,0,3,0,0,0
"ENSG00000221331.1",0,0,0,0,0,0,0,0,0
"ENSG00000221333.1",3,0,5,1,4,0,1,1,0
"ENSG00000221340.1",1,1,1,1,1,0,0,0,0
"ENSG00000221348.1",0,3,0,0,3,0,3,0,0
"ENSG00000221355.1",3,0,2,2,1,0,0,2,0
"ENSG00000221363.1",0,0,0,0,0,0,0,0,0
"ENSG00000221365.1",0,0,0,0,0,0,0,0,0
"ENSG00000221369.1",0,0,1,0,0,0,0,0,0
"ENSG00000221371.1",0,0,0,0,0,0,0,0,0
"ENSG00000221375.1",0,0,0,0,1,0,0,0,0
"ENSG00000221381.1",0,0,0,0,0,0,0,0,0
"ENSG00000221387.1",0,1,1,0,0,0,0,0,0
"ENSG00000221390.1",1,0,0,0,0,0,0,0,0
"ENSG00000221393.1",0,0,0,0,0,0,0,0,0
